"cue","lemma","n"
"abstract","abnormal",1
"abstract","abridge",1
"abstract","abstract",1
"abstract","act",1
"abstract","also",2
"abstract","art",5
"abstract","begin",1
"abstract","brief",1
"abstract","can",2
"abstract","complex",1
"abstract","concise",1
"abstract","concrete",7
"abstract","confuse",1
"abstract","crazy",1
"abstract","deep",1
"abstract","derive",1
"abstract","describe",2
"abstract","detach",1
"abstract","different",6
"abstract","document",1
"abstract","drawing",1
"abstract","easily",1
"abstract","exist",2
"abstract","existence",1
"abstract","expect",1
"abstract","factual",1
"abstract","far",1
"abstract","figurative",1
"abstract","grade",1
"abstract","hard",3
"abstract","high",1
"abstract","hypothetical",1
"abstract","idea",4
"abstract","ideal",2
"abstract","imaginary",1
"abstract","immaterial",1
"abstract","impression",1
"abstract","individually",1
"abstract","insubstantial",1
"abstract","intangible",2
"abstract","interpret",1
"abstract","journal",1
"abstract","material",1
"abstract","mean",1
"abstract","mess",1
"abstract","mind",1
"abstract","movement",1
"abstract","non",1
"abstract","norm",1
"abstract","normal",2
"abstract","normality",1
"abstract","noun",1
"abstract","null",1
"abstract","odd",1
"abstract","often",1
"abstract","one",1
"abstract","order",1
"abstract","outside",2
"abstract","paper",2
"abstract","part",1
"abstract","physical",2
"abstract","pin",1
"abstract","practical",1
"abstract","publish",1
"abstract","put",1
"abstract","real",2
"abstract","reality",1
"abstract","recondite",1
"abstract","result",1
"abstract","savant",1
"abstract","science",1
"abstract","scientific",2
"abstract","see",1
"abstract","something",2
"abstract","somewhere",1
"abstract","study",2
"abstract","style",1
"abstract","summary",4
"abstract","synopsis",2
"abstract","t",1
"abstract","take",1
"abstract","think",3
"abstract","thought",1
"abstract","transcendent",1
"abstract","transcendental",1
"abstract","type",1
"abstract","understand",1
"abstract","unidentifiable",1
"abstract","unreal",2
"abstract","untouchable",1
"abstract","unusual",1
"abstract","vague",2
"abstract","version",1
"abstract","way",1
"abstract","weird",1
"abstract","write",1
"action","1",1
"action","2",1
"action","3",1
"action","4",1
"action","5",1
"action","accomplish",2
"action","achieve",2
"action","achievement",1
"action","act",12
"action","action",30
"action","active",2
"action","activeness",3
"action","activity",6
"action","ahead",1
"action","aim",2
"action","alacrity",1
"action","apply",1
"action","armed",1
"action","athletics",1
"action","battle",1
"action","beating",1
"action","behavior",1
"action","bloody",1
"action","bodily",4
"action","bond",2
"action","call",1
"action","camera",1
"action","car",1
"action","carry",2
"action","cause",2
"action","chain",1
"action","characterize",1
"action","chase",1
"action","chemical",1
"action","cinema",1
"action","commission",1
"action","concern",1
"action","concrete",1
"action","condition",1
"action","conflict",1
"action","consequence",1
"action","contrivance",1
"action","court",1
"action","cut",1
"action","dancing",1
"action","deed",2
"action","demand",2
"action","describe",2
"action","dramatic",1
"action","driving",1
"action","eating",1
"action","effect",1
"action","effort",1
"action","energy",2
"action","enforce",1
"action","engagement",1
"action","event",3
"action","execute",1
"action","executed",1
"action","execution",1
"action","explosion",1
"action","fact",1
"action","feat",1
"action","fight",5
"action","film",2
"action","finger",1
"action","fire",1
"action","flirt",1
"action","force",2
"action","formulate",1
"action","forward",2
"action","fulfill",2
"action","function",1
"action","game",1
"action","general",1
"action","genre",2
"action","go",2
"action","government",1
"action","gun",1
"action","hand",1
"action","hugging",1
"action","human",1
"action","idea",2
"action","implementation",1
"action","impulse",1
"action","influence",1
"action","initiate",2
"action","intention",1
"action","intentional",1
"action","james",2
"action","justice",1
"action","law",2
"action","lawsuit",1
"action","legal",4
"action","litigate",1
"action","locomotion",1
"action","lot",2
"action","loud",1
"action","man",1
"action","manipulation",1
"action","mean",1
"action","meaningful",1
"action","mechanical",1
"action","mechanism",2
"action","military",3
"action","mission",1
"action","motion",3
"action","move",6
"action","movement",15
"action","movie",8
"action","natural",6
"action","noise",1
"action","null",1
"action","occupation",1
"action","one",2
"action","operation",1
"action","opposite",1
"action","organ",1
"action","orient",1
"action","perform",3
"action","performance",1
"action","phrase",1
"action","physical",2
"action","pianoforte",1
"action","pipe",1
"action","plan",1
"action","player",1
"action","please",1
"action","power",1
"action","problem",1
"action","proceeding",2
"action","process",14
"action","progress",1
"action","prompt",1
"action","put",1
"action","quarrel",1
"action","reaction",3
"action","reading",1
"action","representative",1
"action","require",1
"action","response",1
"action","result",1
"action","right",1
"action","run",2
"action","s",2
"action","shake",1
"action","shoe",1
"action","shoot",1
"action","show",1
"action","sing",1
"action","smile",1
"action","solution",1
"action","someone",1
"action","something",24
"action","sometimes",1
"action","sport",1
"action","start",3
"action","state",2
"action","step",3
"action","strength",1
"action","string",1
"action","sue",1
"action","superheros",1
"action","swift",1
"action","take",2
"action","talk",1
"action","talking",1
"action","tangible",1
"action","terrorism",1
"action","thing",1
"action","time",1
"action","tough",1
"action","transform",1
"action","transmit",1
"action","type",1
"action","typically",2
"action","use",2
"action","usually",1
"action","valve",1
"action","verb",3
"action","violence",1
"action","walk",2
"action","war",1
"action","way",1
"action","weapon",1
"action","willful",1
"action","work",3
"ad","across",1
"ad","ad",4
"ad","advantage",1
"ad","advertise",4
"ad","advertisement",8
"ad","also",1
"ad","announce",1
"ad","annoy",1
"ad","attempt",1
"ad","attention",1
"ad","attention getting",1
"ad","banner",1
"ad","billboard",4
"ad","brand",1
"ad","break",1
"ad","business",1
"ad","buy",4
"ad","buyer",2
"ad","buying",1
"ad","can",4
"ad","capitalism",1
"ad","colorful",1
"ad","commercial",5
"ad","commercialism",1
"ad","communication",1
"ad","company",2
"ad","consumer",2
"ad","contain",1
"ad","convey",1
"ad","customer",2
"ad","device",1
"ad","display",1
"ad","disruptive",1
"ad","dramatic",1
"ad","electronic",1
"ad","encourage",1
"ad","entice",1
"ad","enticement",1
"ad","fast",1
"ad","find",4
"ad","format",1
"ad","funny",1
"ad","get",1
"ad","grab",1
"ad","hear",1
"ad","information",2
"ad","informative",2
"ad","inquire",1
"ad","interesting",1
"ad","internet",3
"ad","know",1
"ad","let",1
"ad","magazine",1
"ad","make",2
"ad","marketing",1
"ad","material",1
"ad","means",1
"ad","medium",2
"ad","message",3
"ad","method",1
"ad","need",1
"ad","news",1
"ad","newspaper",8
"ad","notice",2
"ad","now",1
"ad","null",1
"ad","number",1
"ad","often",1
"ad","online",1
"ad","outreach",1
"ad","paper",1
"ad","physical",1
"ad","point",1
"ad","pop",1
"ad","potential",2
"ad","present",1
"ad","print",1
"ad","printed",1
"ad","product",8
"ad","profit",1
"ad","promote",1
"ad","provide",1
"ad","public",4
"ad","publicity",1
"ad","put",1
"ad","racialist",1
"ad","radio",3
"ad","read",1
"ad","response",1
"ad","result",1
"ad","sale",4
"ad","see",2
"ad","sell",6
"ad","seller",1
"ad","service",4
"ad","short",5
"ad","show",1
"ad","sign",1
"ad","skill",1
"ad","someone",1
"ad","something",6
"ad","sponsor",1
"ad","squib",1
"ad","station",1
"ad","television",1
"ad","thing",3
"ad","throwaway",1
"ad","try",2
"ad","tv",3
"ad","use",4
"ad","usually",1
"ad","variety",1
"ad","various",1
"ad","video",1
"ad","viewing",1
"ad","want",3
"ad","way",1
"ad","word",1
"ad","write",1
"air","78",1
"air","absorb",1
"air","air",25
"air","alive",2
"air","always",3
"air","among",1
"air","amount",1
"air","animal",3
"air","anti",1
"air","anywhere",1
"air","argon",1
"air","around",11
"air","ass",1
"air","associate",1
"air","atmosphere",8
"air","atom",1
"air","ball",1
"air","balloon",7
"air","become",2
"air","bird",2
"air","blood",1
"air","blow",3
"air","blue",1
"air","body",4
"air","breath",23
"air","breathable",2
"air","breathe",39
"air","breathed",1
"air","breathing",3
"air","breeze",1
"air","byproduct",1
"air","call",1
"air","can",36
"air","cant",2
"air","car",1
"air","carbon",10
"air","carry",2
"air","catch",1
"air","chemical",1
"air","circulation",1
"air","clean",7
"air","clear",10
"air","cloud",1
"air","cold",16
"air","collective",1
"air","color",2
"air","colorless",3
"air","combination",1
"air","come",1
"air","commonly",1
"air","compress",1
"air","conditioner",1
"air","conditioning",1
"air","contain",6
"air","control",3
"air","cool",3
