"cue","feature","pos","lemma"
"airplane","fly","verb","fly"
"airplane","big","adjective","big"
"airplane","fast","adverb","fast"
"airplane","expensive","adjective","expensive"
"airplane","airport","noun","airport"
"airplane","trained","verb","train"
"airplane","fly","verb","fly"
"airplane","lots","noun","lot"
"airplane","seats","noun","seat"
"airplane","get","verb","get"
"airplane","high","adjective","high"
"airplane","wings","noun","wing"
"airplane","engine","noun","engine"
"airplane","pilot","noun","pilot"
"airplane","cockpit","noun","cockpit"
"airplane","tail","noun","tail"
"airplane","wings","noun","wing"
"airplane","fly","verb","fly"
"airplane","modern","adjective","modern"
"airplane","technology","noun","technology"
"airplane","passengers","noun","passenger"
"airplane","requires","verb","require"
"airplane","pilot","noun","pilot"
"airplane","can","modal","can"
"airplane","dangerous","adjective","dangerous"
"airplane","runs","noun","run"
"airplane","gas","noun","gas"
"airplane","used","verb","use"
"airplane","travel","noun","travel"
"airplane","wings","noun","wing"
"airplane","fly","verb","fly"
"airplane","pilot","noun","pilot"
"airplane","cockpit","noun","cockpit"
"airplane","uses","verb","use"
"airplane","gas","noun","gas"
"airplane","faster","adverb","faster"
"airplane","travel","noun","travel"
"airplane","wings","noun","wing"
"airplane","engines","noun","engine"
"airplane","passengers","noun","passenger"
"airplane","pilot","noun","pilot"
"airplane","s","noun","s"
"airplane","vary","verb","vary"
"airplane","size","noun","size"
"airplane","color","noun","color"
"airplane","wings","noun","wing"
"airplane","body","noun","body"
"airplane","flies","verb","fly"
"airplane","travel","noun","travel"
"airplane","wings","noun","wing"
"airplane","white","adjective","white"
"airplane","fly","noun","fly"
"airplane","air","noun","air"
"airplane","go","verb","go"
"airplane","location","noun","location"
"airplane","used","verb","use"
"airplane","bring","verb","bring"
"airplane","people","noun","people"
"airplane","one","number","one"
"airplane","place","noun","place"
"airplane","another","determiner","another"
"airplane","air","noun","air"
"airplane","travel","noun","travel"
"airplane","propellers","noun","propeller"
"airplane","used","verb","use"
"airplane","combat","noun","combat"
"airplane","different","adjective","different"
"airplane","sizes","noun","size"
"airplane","allows","verb","allow"
"airplane","different","adjective","different"
"airplane","amounts","noun","amount"
"airplane","seating","noun","seating"
"airplane","pilot","noun","pilot"
"airplane","transport","noun","transport"
"airplane","people","noun","people"
"airplane","fast","adverb","fast"
"airplane","aerodynamic","adjective","aerodynamic"
"airplane","transplantation","noun","transplantation"
"airplane","flying","verb","fly"
"airplane","travel","verb","travel"
"airplane","country","noun","country"
"airplane","country","noun","country"
"airplane","state","noun","state"
"airplane","state","verb","state"
"airplane","carry","verb","carry"
"airplane","things","noun","thing"
"airplane","mail","noun","mail"
"airplane","weapons","noun","weapon"
"airplane","packages","verb","package"
"airplane","packages","noun","package"
"airplane","people","noun","people"
"airplane","fly","verb","fly"
"airplane","aerodynamic","adjective","aerodynamic"
"airplane","large","adjective","large"
"airplane","possibly","adverb","possibly"
"airplane","dangerous","adjective","dangerous"
"airplane","wings","noun","wing"
"airplane","engine","noun","engine"
"airplane","seats","noun","seat"
"airplane","doors","noun","door"
"airplane","storage","noun","storage"
"airplane","pilot","noun","pilot"
"airplane","runs","verb","run"
"airplane","fuel","noun","fuel"
"airplane","flies","noun","fly"
"airplane","can","modal","can"
"airplane","hold","verb","hold"
"airplane","people","noun","people"
"airplane","mode","noun","mode"
"airplane","transportation","noun","transportation"
"airplane","fastest","adjective","fast"
"airplane","mode","noun","mode"
"airplane","transportation","noun","transportation"
"airplane","jet","noun","jet"
"airplane","engines","noun","engine"
"airplane","two","number","two"
"airplane","pilots","noun","pilot"
"airplane","metal","noun","metal"
"airplane","long","adverb","long"
